customer_state,total_delayed_order,low_score_rate_delay,extreme_delayed_order,extreme_delay_rate,flag_volume,flag_impact,priority_status
RJ,1273,66.54,145,11.39,True,True,High Priority
SP,1445,41.45,57,3.94,True,False,Medium Priority
MG,426,46.95,14,3.29,True,False,Medium Priority
BA,374,52.67,25,6.68,True,False,Medium Priority
RS,293,54.61,12,4.1,True,False,Medium Priority
SC,256,49.22,3,1.17,True,False,Medium Priority
PA,93,64.52,5,5.38,False,True,Medium Priority
PE,137,67.88,11,8.03,False,True,Medium Priority
AL,77,67.53,4,5.19,False,True,Medium Priority
SE,40,67.5,3,7.5,False,True,Medium Priority
RN,38,63.16,4,10.53,False,True,Medium Priority
ES,189,46.56,8,4.23,False,False,Low Priority
MA,107,58.88,5,4.67,False,False,Low Priority
GO,115,50.43,10,8.7,False,False,Low Priority
PR,177,44.07,8,4.52,False,False,Low Priority
CE,165,63.03,22,13.33,False,False,Low Priority
MS,66,53.03,5,7.58,False,False,Low Priority
DF,100,62.0,3,3.0,False,False,Low Priority
MT,49,48.98,3,6.12,False,False,Low Priority
PI,61,59.02,4,6.56,False,False,Low Priority
PB,46,60.87,3,6.52,False,False,Low Priority
AC,2,100.0,1,50.0,False,False,Not Classified
AM,5,40.0,1,20.0,False,False,Not Classified
AP,3,0.0,1,33.33,False,False,Not Classified
RO,7,57.14,0,0.0,False,False,Not Classified
RR,4,75.0,2,50.0,False,False,Not Classified
TO,26,34.62,1,3.85,False,False,Not Classified
